Client 1 started! ... 
Client 1 connected to the server!
Client 1 initialized!
Loss = 2.313852310180664, Accuracy = 0.03125
Loss = 2.2640380859375, Accuracy = 0.1328125
Loss = 2.2153968811035156, Accuracy = 0.1328125
Loss = 2.189066171646118, Accuracy = 0.203125
Loss = 2.116386651992798, Accuracy = 0.3359375
Loss = 2.0741608142852783, Accuracy = 0.4140625
Loss = 2.059877872467041, Accuracy = 0.390625
Loss = 2.0082995891571045, Accuracy = 0.4375
Loss = 1.9900225400924683, Accuracy = 0.4296875
Loss = 1.985084056854248, Accuracy = 0.421875
Loss = 1.9630053043365479, Accuracy = 0.375
Loss = 1.9388099908828735, Accuracy = 0.3515625
Loss = 1.927401065826416, Accuracy = 0.3671875
Loss = 1.8902250528335571, Accuracy = 0.421875
Loss = 1.8580955266952515, Accuracy = 0.3984375
Loss = 1.865789532661438, Accuracy = 0.4140625
Loss = 1.8150521516799927, Accuracy = 0.4375
Loss = 1.8218064308166504, Accuracy = 0.4453125
Loss = 1.7900471687316895, Accuracy = 0.53125
Loss = 1.7619221210479736, Accuracy = 0.609375
Loss = 1.714493751525879, Accuracy = 0.609375
Loss = 1.7004810571670532, Accuracy = 0.5390625
Loss = 1.6846996545791626, Accuracy = 0.6328125
Loss = 1.6841286420822144, Accuracy = 0.6640625
Loss = 1.602092981338501, Accuracy = 0.7578125
Loss = 1.6529614925384521, Accuracy = 0.625
Loss = 1.5985758304595947, Accuracy = 0.7265625
Loss = 1.6112444400787354, Accuracy = 0.6328125
Loss = 1.5918853282928467, Accuracy = 0.65625
Loss = 1.5684713125228882, Accuracy = 0.734375
Loss = 1.4779373407363892, Accuracy = 0.7109375
Loss = 1.4955226182937622, Accuracy = 0.7421875
Loss = 1.4965243339538574, Accuracy = 0.71875
Loss = 1.466103196144104, Accuracy = 0.765625
Loss = 1.4353700876235962, Accuracy = 0.7265625
Loss = 1.3832939863204956, Accuracy = 0.8671875
Loss = 1.3866193294525146, Accuracy = 0.75
Loss = 1.3566257953643799, Accuracy = 0.78125
Loss = 1.3871327638626099, Accuracy = 0.796875
Loss = 1.3221101760864258, Accuracy = 0.8515625
Loss = 1.3239094018936157, Accuracy = 0.796875
Loss = 1.3196202516555786, Accuracy = 0.7890625
Loss = 1.338080883026123, Accuracy = 0.796875
Loss = 1.3292709589004517, Accuracy = 0.796875
Loss = 1.3219060897827148, Accuracy = 0.7578125
Loss = 1.2164071798324585, Accuracy = 0.828125
Loss = 1.2652711868286133, Accuracy = 0.8046875
Loss = 1.2764804363250732, Accuracy = 0.8046875
Loss = 1.2746089696884155, Accuracy = 0.8046875
Loss = 1.232062578201294, Accuracy = 0.8359375
Loss = 1.2461951971054077, Accuracy = 0.8203125
Loss = 1.2116955518722534, Accuracy = 0.828125
Loss = 1.1544063091278076, Accuracy = 0.828125
Loss = 1.1648296117782593, Accuracy = 0.859375
Loss = 1.2398502826690674, Accuracy = 0.8203125
Loss = 1.1446349620819092, Accuracy = 0.8984375
Loss = 1.1113959550857544, Accuracy = 0.890625
Loss = 1.1150966882705688, Accuracy = 0.828125
Loss = 1.1643989086151123, Accuracy = 0.8359375
Loss = 1.1468080282211304, Accuracy = 0.875
Loss = 1.0672569274902344, Accuracy = 0.875
Loss = 1.2094329595565796, Accuracy = 0.71875
Loss = 1.0939152240753174, Accuracy = 0.8828125
Loss = 1.113861322402954, Accuracy = 0.8203125
Loss = 1.0951018333435059, Accuracy = 0.859375
Loss = 1.0594861507415771, Accuracy = 0.84375
Loss = 1.1099748611450195, Accuracy = 0.8225806355476379
Loss = 1.0890326499938965, Accuracy = 0.8515625
Loss = 0.9826123714447021, Accuracy = 0.8828125
Loss = 1.0490912199020386, Accuracy = 0.859375
Loss = 1.034652829170227, Accuracy = 0.8671875
Loss = 1.003623604774475, Accuracy = 0.8515625
Loss = 0.9800887107849121, Accuracy = 0.8359375
Loss = 1.0506478548049927, Accuracy = 0.859375
Loss = 1.0003849267959595, Accuracy = 0.84375
Loss = 1.0254583358764648, Accuracy = 0.8359375
Loss = 0.9635544419288635, Accuracy = 0.8828125
Loss = 0.9883332848548889, Accuracy = 0.8046875
Loss = 0.9459869861602783, Accuracy = 0.90625
Loss = 1.0052145719528198, Accuracy = 0.8125
Loss = 1.007155418395996, Accuracy = 0.8203125
Loss = 1.0013922452926636, Accuracy = 0.8515625
Loss = 0.9446936249732971, Accuracy = 0.8359375
Loss = 0.8929423689842224, Accuracy = 0.90625
Loss = 0.8734951615333557, Accuracy = 0.8828125
Loss = 1.017505168914795, Accuracy = 0.78125
Loss = 0.940400242805481, Accuracy = 0.859375
Loss = 0.9363707900047302, Accuracy = 0.8203125
Loss = 0.8975088596343994, Accuracy = 0.875
Loss = 0.8511325120925903, Accuracy = 0.8828125
Loss = 0.8592174649238586, Accuracy = 0.84375
Loss = 0.8989913463592529, Accuracy = 0.8828125
Loss = 0.8840110301971436, Accuracy = 0.875
Loss = 0.9156286716461182, Accuracy = 0.8515625
Loss = 0.8847751617431641, Accuracy = 0.8671875
Loss = 0.849548876285553, Accuracy = 0.8828125
Loss = 0.9429163336753845, Accuracy = 0.84375
Loss = 0.894584059715271, Accuracy = 0.875
Loss = 0.8710903525352478, Accuracy = 0.875
Loss = 0.9024026393890381, Accuracy = 0.8203125
Loss = 0.7929744720458984, Accuracy = 0.8671875
Loss = 0.7963423132896423, Accuracy = 0.890625
Loss = 0.7863188982009888, Accuracy = 0.90625
Loss = 0.78938227891922, Accuracy = 0.875
Loss = 0.8181516528129578, Accuracy = 0.8515625
Loss = 0.8757660388946533, Accuracy = 0.859375
Loss = 0.8587647676467896, Accuracy = 0.8515625
Loss = 0.7968860864639282, Accuracy = 0.875
Loss = 0.8374509811401367, Accuracy = 0.875
Loss = 0.7728317379951477, Accuracy = 0.9140625
Loss = 0.7661274671554565, Accuracy = 0.859375
Loss = 0.7594676613807678, Accuracy = 0.890625
Loss = 0.781671404838562, Accuracy = 0.890625
Loss = 0.6718193888664246, Accuracy = 0.90625
Loss = 0.6987914443016052, Accuracy = 0.890625
Loss = 0.7443405389785767, Accuracy = 0.8828125
Loss = 0.9068034887313843, Accuracy = 0.796875
Loss = 0.8246915340423584, Accuracy = 0.84375
Loss = 0.6921617984771729, Accuracy = 0.8984375
Loss = 0.7173556089401245, Accuracy = 0.921875
Loss = 0.7810494303703308, Accuracy = 0.8515625
Loss = 0.7971537709236145, Accuracy = 0.828125
Loss = 0.7378512024879456, Accuracy = 0.8984375
Loss = 0.8354096412658691, Accuracy = 0.828125
Loss = 0.7863782644271851, Accuracy = 0.8515625
Loss = 0.7218159437179565, Accuracy = 0.8828125
Loss = 0.7368614673614502, Accuracy = 0.8203125
Loss = 0.707557737827301, Accuracy = 0.8828125
Loss = 0.6855775117874146, Accuracy = 0.921875
Loss = 0.7320337891578674, Accuracy = 0.8671875
Loss = 0.7795157432556152, Accuracy = 0.8671875
Loss = 0.762161135673523, Accuracy = 0.8515625
Loss = 0.7876645922660828, Accuracy = 0.84375
Loss = 0.6711834669113159, Accuracy = 0.8951612710952759
Loss = 0.6985781788825989, Accuracy = 0.8984375
Loss = 0.7452078461647034, Accuracy = 0.8671875
Loss = 0.6798686385154724, Accuracy = 0.890625
Loss = 0.7856136560440063, Accuracy = 0.828125
Loss = 0.7780738472938538, Accuracy = 0.875
Loss = 0.7516870498657227, Accuracy = 0.828125
Loss = 0.645825982093811, Accuracy = 0.9296875
Loss = 0.735163688659668, Accuracy = 0.875
Loss = 0.7142933011054993, Accuracy = 0.8984375
Loss = 0.701509952545166, Accuracy = 0.859375
Loss = 0.6543445587158203, Accuracy = 0.890625
Loss = 0.7360625863075256, Accuracy = 0.8203125
Loss = 0.7444873452186584, Accuracy = 0.8203125
Loss = 0.7787478566169739, Accuracy = 0.8125
Loss = 0.6869008541107178, Accuracy = 0.8671875
Loss = 0.6450989842414856, Accuracy = 0.8828125
Loss = 0.7323862910270691, Accuracy = 0.84375
Loss = 0.6798112988471985, Accuracy = 0.8828125
Loss = 0.719248354434967, Accuracy = 0.84375
Loss = 0.7125759720802307, Accuracy = 0.8359375
Loss = 0.6654070615768433, Accuracy = 0.875
Loss = 0.675921618938446, Accuracy = 0.8828125
Loss = 0.6327382326126099, Accuracy = 0.859375
Loss = 0.6336489915847778, Accuracy = 0.8515625
Loss = 0.6381781697273254, Accuracy = 0.875
Loss = 0.5993115901947021, Accuracy = 0.90625
Loss = 0.5978244543075562, Accuracy = 0.9375
Loss = 0.6208794116973877, Accuracy = 0.8671875
Loss = 0.6831758618354797, Accuracy = 0.8515625
Loss = 0.6913939714431763, Accuracy = 0.8515625
Loss = 0.6375090479850769, Accuracy = 0.8359375
Loss = 0.6218586564064026, Accuracy = 0.90625
Loss = 0.6417508721351624, Accuracy = 0.8671875
Loss = 0.6188732385635376, Accuracy = 0.890625
Loss = 0.6883967518806458, Accuracy = 0.8046875
Loss = 0.5394090414047241, Accuracy = 0.9453125
Loss = 0.6246262788772583, Accuracy = 0.875
Loss = 0.5978895425796509, Accuracy = 0.8828125
Loss = 0.670093834400177, Accuracy = 0.9140625
Loss = 0.6222687363624573, Accuracy = 0.90625
Loss = 0.5249534845352173, Accuracy = 0.921875
Loss = 0.5769239664077759, Accuracy = 0.8984375
Loss = 0.5743424296379089, Accuracy = 0.8984375
Loss = 0.684138298034668, Accuracy = 0.8515625
Loss = 0.6322487592697144, Accuracy = 0.875
Loss = 0.7551117539405823, Accuracy = 0.8359375
Loss = 0.5349264740943909, Accuracy = 0.9375
Loss = 0.5810907483100891, Accuracy = 0.8828125
Loss = 0.6269885301589966, Accuracy = 0.8671875
Loss = 0.6345939636230469, Accuracy = 0.890625
Loss = 0.6429901719093323, Accuracy = 0.875
Loss = 0.5845048427581787, Accuracy = 0.8984375
Loss = 0.545447826385498, Accuracy = 0.9140625
Loss = 0.5731656551361084, Accuracy = 0.9140625
Loss = 0.5540841221809387, Accuracy = 0.8984375
Loss = 0.7105954885482788, Accuracy = 0.8515625
Loss = 0.6216838359832764, Accuracy = 0.8671875
Loss = 0.5778888463973999, Accuracy = 0.8984375
Loss = 0.6939362287521362, Accuracy = 0.84375
Loss = 0.5880786776542664, Accuracy = 0.90625
Loss = 0.5997505187988281, Accuracy = 0.8984375
Loss = 0.5858834981918335, Accuracy = 0.921875
Loss = 0.6347604393959045, Accuracy = 0.8515625
Loss = 0.5928582549095154, Accuracy = 0.875
Loss = 0.5783664584159851, Accuracy = 0.875
Loss = 0.6004927158355713, Accuracy = 0.8671875
Loss = 0.45490774512290955, Accuracy = 0.9354838728904724
Loss = 0.5863059759140015, Accuracy = 0.84375
Loss = 0.5763229131698608, Accuracy = 0.8984375
Loss = 0.6255733370780945, Accuracy = 0.859375
Loss = 0.5479586124420166, Accuracy = 0.921875
Loss = 0.5682377219200134, Accuracy = 0.890625
Loss = 0.5777186155319214, Accuracy = 0.875
Loss = 0.5130016803741455, Accuracy = 0.9453125
Loss = 0.6009552478790283, Accuracy = 0.859375
Loss = 0.562179684638977, Accuracy = 0.8984375
Loss = 0.6919489502906799, Accuracy = 0.8515625
Loss = 0.6271997690200806, Accuracy = 0.875
Loss = 0.610774040222168, Accuracy = 0.875
Loss = 0.5861689448356628, Accuracy = 0.8671875
Loss = 0.6173374056816101, Accuracy = 0.875
Loss = 0.5406907200813293, Accuracy = 0.90625
Loss = 0.5936944484710693, Accuracy = 0.859375
Loss = 0.5539505481719971, Accuracy = 0.875
Loss = 0.5407553315162659, Accuracy = 0.9140625
Loss = 0.5315067768096924, Accuracy = 0.8828125
Loss = 0.5227413773536682, Accuracy = 0.9296875
Loss = 0.517690122127533, Accuracy = 0.90625
Loss = 0.6213276386260986, Accuracy = 0.8359375
Loss = 0.6212983727455139, Accuracy = 0.859375
Loss = 0.517518937587738, Accuracy = 0.8984375
Loss = 0.6215068101882935, Accuracy = 0.890625
Loss = 0.5839211940765381, Accuracy = 0.859375
Loss = 0.6134867668151855, Accuracy = 0.8359375
Loss = 0.6740627884864807, Accuracy = 0.8125
Loss = 0.6780279874801636, Accuracy = 0.8359375
Loss = 0.6059624552726746, Accuracy = 0.859375
Loss = 0.5232269763946533, Accuracy = 0.8671875
Loss = 0.5952746868133545, Accuracy = 0.84375
Loss = 0.5290789008140564, Accuracy = 0.8671875
Loss = 0.535752534866333, Accuracy = 0.8828125
Loss = 0.5352009534835815, Accuracy = 0.8828125
Loss = 0.568000853061676, Accuracy = 0.859375
Loss = 0.6111317276954651, Accuracy = 0.84375
Loss = 0.4552536904811859, Accuracy = 0.921875
Loss = 0.4884192943572998, Accuracy = 0.8984375
Loss = 0.49843835830688477, Accuracy = 0.9296875
Loss = 0.5122467279434204, Accuracy = 0.875
Loss = 0.4895712435245514, Accuracy = 0.90625
Loss = 0.507989764213562, Accuracy = 0.8828125
Loss = 0.5196832418441772, Accuracy = 0.859375
Loss = 0.507538378238678, Accuracy = 0.875
Loss = 0.5086978673934937, Accuracy = 0.875
Loss = 0.5122033953666687, Accuracy = 0.8984375
Loss = 0.4928591251373291, Accuracy = 0.890625
Loss = 0.4836876392364502, Accuracy = 0.9140625
Loss = 0.4789915680885315, Accuracy = 0.90625
Loss = 0.5126937031745911, Accuracy = 0.90625
Loss = 0.47967293858528137, Accuracy = 0.9375
Loss = 0.6110327243804932, Accuracy = 0.828125
Loss = 0.4410216212272644, Accuracy = 0.9140625
Loss = 0.47371581196784973, Accuracy = 0.9296875
Loss = 0.5605610013008118, Accuracy = 0.8515625
Loss = 0.5155977606773376, Accuracy = 0.890625
Loss = 0.4948713481426239, Accuracy = 0.890625
Loss = 0.5059921145439148, Accuracy = 0.8828125
Client 1 terminated! ...
